006-B3258-00|Descent™ Mk2 / Mk2i
006-B3702-00|Descent™ Mk2 / Mk2i
006-B4222-00|Descent™ Mk3 / Mk3i - 43 mm
006-B3469-00|ForeAthlete 45 / 45S
006-B4033-00|ForeAthlete 55 / Forerunner® 158 
006-B4336-00|GPSMAP® 67 / 67i
006-B4473-00|GPSMAP® 67 / 67i
006-B4552-00|GPSMAP® H1 / H1i Plus
006-B3459-00|Montana 700 / 700i
006-B3943-00|epix™ (Gen 2) / quatix® 7
006-B3944-00|epix™ (Gen 2) / quatix® 7
006-B4313-00|epix™ Pro - 47mm / quatix® 7 Pro
006-B2050-00|fēnix® 3 / quatix® 3 / tactix® Bravo
006-B2697-00|fēnix® 5 / quatix® 5
006-B2604-00|fēnix® 5X / tactix® Charlie
006-B3290-00|fēnix® 6 Pro / Sapphire
006-B3288-00|fēnix® 6S Pro / Sapphire
006-B3291-00|fēnix® 6X Pro / quatix® 6X / tactix® Delta
006-B3516-00|fēnix® 6X Pro / tactix® Delta
006-B3906-00|fēnix® 7 / quatix® 7
006-B3909-00|fēnix® 7 / quatix® 7
006-B3907-00|fēnix® 7X / quatix® 7X
006-B3910-00|fēnix® 7X / quatix® 7X
006-B4536-00|fēnix® 8 / quatix® 8 - 47 mm / 51 mm, AMOLED
006-B4631-00|fēnix® 8 Pro / quatix® 8 Pro - 47 mm / 51 mm
